"","pano_id","x","y","direction"
"98","TMX7316010203-000299_pano_0002_004325",4.90555666201591,52.3651154052546,4
"99","TMX7316010203-000299_pano_0002_004326",4.9056097808823,52.365032147783,4
"100","TMX7316010203-000299_pano_0002_004328",4.90573421479015,52.3648703101749,4
"101","TMX7316010203-000299_pano_0002_004329",4.90579202632865,52.3647878705041,3
"102","TMX7316010203-000299_pano_0002_004334",4.90604600414899,52.3643672112628,3
"103","TMX7316010203-000299_pano_0002_004334",4.90604600414899,52.3643672112628,4
"104","TMX7316010203-000299_pano_0002_004335",4.90609821204725,52.3642835246443,2
"105","TMX7316010203-000299_pano_0002_004336",4.90614956852352,52.3641994357217,3
"106","TMX7316010203-000299_pano_0002_004337",4.90620097430014,52.3641153586062,3
"107","TMX7316010203-000299_pano_0002_004340",4.90635429471685,52.3638632998527,4
"108","TMX7316010203-000299_pano_0002_004341",4.90640578282052,52.3637793477826,3
"109","TMX7316010203-000299_pano_0002_004342",4.90645505383472,52.363695014433,4
"110","TMX7316010203-000299_pano_0002_004343",4.90649755501301,52.3636090846155,4
"111","TMX7316010203-000299_pano_0002_004344",4.90654998068208,52.3635256590753,2
"112","TMX7316010203-000299_pano_0002_004345",4.90662065893523,52.3634479894611,4
"113","TMX7316010203-000299_pano_0002_004346",4.90672388187811,52.3633890217187,2
"114","TMX7316010203-000301_pano_0000_007287",4.91038395281087,52.3687987752339,3
"115","TMX7316010203-000301_pano_0000_007287",4.91038395281087,52.3687987752339,4
"116","TMX7316010203-000301_pano_0000_007289",4.91040151519211,52.3686256493705,3
"117","TMX7316010203-000301_pano_0000_007298",4.90974620467731,52.3679333381502,4
"118","TMX7316010203-000301_pano_0000_007299",4.90967363072245,52.3678567090334,3
"119","TMX7316010203-000301_pano_0000_007306",4.90927844753796,52.3673152422271,4
"120","TMX7316010203-000301_pano_0000_007307",4.90935588820235,52.3672432940321,2
"121","TMX7316010203-000301_pano_0000_007318",4.91077802984968,52.3667505021433,1
"122","TMX7316010203-000301_pano_0000_007324",4.91154453241054,52.3664716958019,3
